"","UNITCD","STOCKING_ALT_SFTWD","STOCKING_ALT_HRDWD","STOCKING_ALT_ERCEDAR","STOCKING_ALT_OAKPIN","STOCKING_ALT_EXHWDS","STOCKING_ALT_EXSFTWD","STOCKING_ALT_NROBLWA","STOCKING_ALT_RMWASHETC","STOCKING_ALT_MBB","STOCKING_ALT_ASPBRCH","STOCKING_ALT_ELMASHCW","STOCKING_ALT_ALDRMAPL","STOCKING_ALT_LOBSHRTP","STOCKING_ALT_LNGLFSLH","STOCKING_ALT_OKGMCYP","STOCKING_ALT_ASHBCHBLCH","STOCKING_ALT_OAKHCK","STOCKING_ALT_ESPRFIR","STOCKING_ALT_RWJPIN","STOCKING_ALT_TOTAL","STOCKING_MAX","FORTYPGRP"
"1","10154_1",0,672.299761055263,0,0,0,0,18.9326871965542,77.0809189301674,199.231404952826,0,0,0,0,0,0,25.7977996287663,569.081962229158,0,0,672.299761055263,569.081962229158,500
"2","10175_1",493.069294340671,555.243922894727,0,0,55.1452686043562,0,0,171.578063979425,693.228892454823,0,0,0,0,0,0,64.3679909066723,171.578063979425,0,493.069294340671,1048.3132172354,693.228892454823,800
"3","10175_2",116.710155723758,695.562714266696,0,49.6498816493349,0,0,0,252.383086879056,553.035301044212,53.4585368708033,0,0,0,0,0,26.2128075345908,352.173483929705,0,116.710155723758,812.272869990454,553.035301044212,800
"4","10350_1",391.480508279022,394.58170806725,0,0,0,0,0,225.405066984325,643.112292209897,0,0,0,0,0,0,129.232599861254,225.405066984325,0,391.480508279022,786.062216346272,643.112292209897,800
"5","10363_1",70.6520674559398,574.910951556099,0,70.6520674559398,0,0,0,159.235964775176,292.642972173497,0,0,0,53.8753849509124,0,10.9494486133376,14.6570196324326,430.55449554444,0,16.7766825050274,645.563019012039,430.55449554444,500
"6","10363_4",51.6847236354804,621.603750656886,0,27.9957606849143,0,0,22.1160217823887,213.712705941282,502.814343629798,0,0,0,0,0,0,158.035258758677,352.547552170375,0,51.6847236354804,673.288474292366,502.814343629798,800
"7","10373_1",0,725.640665112067,0,0,0,0,46.1590877808696,437.240155638407,622.233466496183,22.4275583118942,0,0,0,0,0,322.498167302045,483.399243419276,0,0,725.640665112067,622.233466496183,800
"8","10381_1",154.722709530301,385.441886751048,0,15.9411223393554,0,0,37.3217592738653,137.205531016217,392.281124183375,0,0,0,0,0,0,73.7574751510219,174.527290290082,0,154.722709530301,540.16459628135,392.281124183375,800
"9","10742_1",164.831570867014,736.83840575644,0,0,0,0,85.793110385767,390.522065117711,878.752647259577,22.9173293638766,0,0,0,0,0,129.789263706187,476.315175503478,0,164.831570867014,901.669976623454,878.752647259577,800
"10","10921_1",11.1625826554748,705.030707203891,0,11.1625826554748,0,0,95.4390571702328,149.172389463562,244.611446633795,0,0,0,0,0,0,0,486.907036054197,0,11.1625826554748,716.193289859366,486.907036054197,500
"11","10921_2",42.9894671268383,901.84749381791,0,42.9894671268383,0,0,232.987099705264,157.489054936442,390.476154641707,0,0,0,0,0,0,0,513.059538263409,0,42.9894671268383,944.836960944748,513.059538263409,500
"12","10937_1",199.498325230018,609.573374071443,0,0,0,0,45.2470801252907,322.855302149222,728.060632458642,0,0,0,0,0,0,228.497912484865,416.465105205822,0,199.498325230018,809.071699301461,728.060632458642,800
"13","11824_2",0,475.29115573734,0,0,0,0,79.2815475449131,21.9914994807816,152.835843779624,0,0,0,0,0,0,11.5758393528723,458.044438335691,0,0,475.29115573734,458.044438335691,500
"14","11975_2",127.285374141235,634.881975051781,0,79.8910012286552,75.7764467601348,0,0,108.571667720926,155.966040633506,0,0,0,0,0,0,0,475.434118920538,0,127.285374141235,762.167349193017,475.434118920538,500
"15","11979_1",90.4778438793264,316.708415937819,0,90.4778438793264,0,0,20.3919061925556,43.9619813237761,64.3538875163318,0,0,0,0,0,0,0,234.982682775953,0,90.4778438793264,407.186259817146,234.982682775953,500
"16","12017_1",13.177054163044,368.513888932102,0,13.177054163044,12.1370041897525,0,24.624881780445,16.8969534652526,16.8969534652526,0,0,0,13.177054163044,0,0,16.8969534652526,336.331643221032,0,0,381.690943095146,336.331643221032,500
"17","12352_1",29.8581062644215,706.975047765279,0,29.8581062644215,0,0,211.601828588215,0,264.609380547197,0,0,0,18.7216013384927,0,0,0,653.967495806296,0,11.1365049259288,736.8331540297,653.967495806296,500
