"","PLT_CN","PLOTID","dist"
"1","9705_2_2021","9705_2",0
"2","29637301020004","54.47.783",336.516531726566
"3","29637550020004","54.83.2015",176.155053191296
"4","168262006020004","24.1.312",114.261840742238
"5","171920193020004","54.71.1288",193.231893452325
"6","171920194020004","54.77.400",136.498328123587
"7","171920212020004","54.101.741",221.49751218467
"8","171920293020004","54.77.273",150.727131677723
"9","171920338020004","54.23.1035",147.282948757605
"10","171920500020004","54.57.2386",131.776628790841
"11","171920552020004","54.15.588",242.619483856189
"12","171920606020004","54.83.64",210.669432991451
"13","171920628020004","54.101.2321",227.880796041674
"14","171920637020004","54.75.443",200.935683403342
"15","171920641020004","54.93.1205",157.63158328331
"16","171920642020004","54.93.2221",162.593680109396
"17","171958362020004","42.111.4245",89.8144509450503
"18","171958547020004","42.111.4316",114.515517972852
"19","188794882020004","21.95.19",404.727297107617
"20","249981874489998","54.77.1386",154.627874967132
"21","249981979489998","54.101.1529",228.474518615898
"22","249981996489998","54.23.1960",143.217349561359
"23","249982029489998","54.67.862",234.744839874276
"24","249982030489998","54.67.158",238.752663435797
"25","251021667489998","42.111.1582",123.276441326198
"26","251021719489998","42.111.558",80.8747916090314
"27","251021722489998","42.111.6128",103.960020370668
"28","251021899489998","42.27.1904",18.9212051352817
"29","291609728489998","21.95.44",402.105345885265
"30","306268734489998","42.129.862",89.9708878041642
"31","306268776489998","42.129.1249",102.118540846385
"32","306268948489998","42.13.1516",63.5272978226149
"33","306335958489998","54.93.1143",151.210504013671
"34","306335971489998","54.67.1749",249.706697593902
"35","306336012489998","54.75.1565",202.91074856542
"36","306336038489998","54.23.2451",139.527959195509
"37","306336078489998","54.109.352",307.852042989683
"38","306336149489998","54.5.2402",301.571302966739
"39","306336193489998","54.23.208",139.971752597309
"40","306336204489998","54.101.1896",220.243302782287
"41","306336256489998","54.71.680",187.776553647305
"42","306336260489998","54.83.1282",208.621570901605
"43","306336263489998","54.101.457",221.864070332774
"44","306336277489998","54.93.573",158.232423426711
"45","373998318489998","24.23.1449",148.128223289082
"46","374961228489998","54.81.578",288.830468366417
"47","374961255489998","54.77.1471",152.004174507973
"48","374961279489998","54.31.702",160.013205673073
"49","374961421489998","54.83.2104",204.664884521458
"50","374961424489998","54.101.355",213.449244447239
"51","374961452489998","54.67.2129",257.552377435698
"52","374961487489998","54.83.1314",208.874114194776
"53","374961489489998","54.75.391",220.691870999106
"54","374961505489998","54.71.1082",190.727517324141
"55","374961524489998","54.27.48",114.466830143553
"56","375840536489998","42.111.1732",97.6459359918401
"57","375840607489998","42.9.1042",93.5187603728455
"58","375840677489998","42.63.793",74.3706741919617
"59","375840703489998","42.63.1906",70.2993934474375
"60","375840874489998","42.21.981",72.8451546221307
"61","375840932489998","42.67.533",31.7315728844274
"62","375841083489998","42.81.1384",40.7245103873445
"63","375841130489998","42.37.311",63.5241623307846
"64","386053932489998","21.95.6",426.255517051322
"65","464513675489998","42.1.2151",67.2773955883004
"66","464513752489998","42.35.6192",19.7201659395276
"67","464513809489998","42.21.2831",76.4525255890884
"68","464514791489998","42.11.2316",97.9692169412829
"69","464515499489998","42.111.2596",104.950482507032
"70","465275626489998","54.75.549",207.082979152524
"71","465275645489998","54.77.312",148.451624498399
"72","465275664489998","54.83.3587",192.722134347843
"73","465275689489998","54.5.1645",288.092283907385
"74","465275691489998","54.47.2145",329.469747531731
"75","465275749489998","54.45.553",317.205506668076
"76","465275763489998","54.47.2138",328.304017863685
"77","465275797489998","54.23.1416",137.736644108444
"78","465275798489998","54.23.1391",143.585336268177
"79","465275845489998","54.15.141",244.470106793466
"80","465275851489998","54.67.1040",242.392581079097
"81","465275894489998","54.59.330",331.750879309408
"82","480976106489998","51.5.28",258.177082163031
"83","480976113489998","51.51.25",373.962855169725
"84","480976345489998","51.167.62",370.209380178416
"85","480976579489998","51.27.33",337.781059630743
"86","480976770489998","51.105.56",404.607471395147
"87","480976801489998","51.185.16",348.173874591587
"88","495155227126144","21.119.2",370.448735777313
"89","495155347126144","21.195.9",348.583201606922
"90","511231686126144","42.115.2395",122.615110824457
"91","511231814126144","42.81.2760",33.6312401379085
"92","511231858126144","42.109.5964",24.1624454942007
"93","511232060126144","42.21.5600",68.1288134364511
"94","513410305126144","54.65.127",103.582459113065
"95","513410351126144","54.23.491",149.548827510835
"96","513410353126144","54.83.119",171.173046557287
"97","513410372126144","54.77.1056",144.54111064868
"98","513410384126144","54.83.523",195.283282767667
"99","513410387126144","54.83.772",210.447365536925
"100","513410390126144","54.101.1037",224.921865102831
"101","513410408126144","54.77.1613",154.136728118839
"102","513410416126144","54.1.1841",178.257671018192
"103","513410426126144","54.101.1707",214.288105589876
"104","513410427126144","54.101.720",217.319677102943
"105","513410428126144","54.101.267",216.718134339688
"106","513410437126144","54.67.2228",248.79040903244
"107","513410439126144","54.25.775",258.91579468987
"108","535844304126144","51.173.39",342.122852538106
"109","570397852126144","24.1.1840",113.129167472995
"110","618637884126144","42.11.3989",95.9475828021463
"111","618638032126144","42.43.4779",41.094165523019
"112","618638153126144","42.9.5438",59.5580234669017
"113","618638204126144","42.9.5977",84.5469359954449
"114","618638305126144","42.129.3371",96.623281461635
"115","618642682126144","54.93.1268",154.945897386058
"116","618642700126144","54.75.3577",215.482255844424
"117","618642718126144","54.1.2226",170.3888988024
"118","618642723126144","54.83.327",209.661976281847
"119","618642724126144","54.83.2524",213.986697262843
"120","618642729126144","54.25.1990",243.853447194802
"121","618642756126144","54.97.1966",196.48556178385
"122","618642759126144","54.101.1578",213.803502967757
"123","618642763126144","54.101.2757",223.673940301657
"124","618642768126144","54.25.448",245.581418092015
"125","618642770126144","54.25.969",250.936983884028
"126","618642851126144","54.67.594",256.585511150497
"127","618642866126144","54.47.1926",325.147943226199
"128","618642919126144","54.45.1490",316.17578959747
"129","618642923126144","54.47.482",337.088309960997
"130","678976827126144","51.185.52",340.922304590662
"131","678976841126144","51.27.34",341.707649941092
"132","678977049126144","51.195.49",380.67692579007
"133","722437914290487","42.111.4342",105.128854425647
"134","722438014290487","42.63.4307",76.837739613065
"135","722438167290487","42.13.5297",54.7695282428632
"136","722438195290487","42.9.4420",82.7173410814586
"137","722438316290487","42.81.4524",53.1937315082906
"138","722438323290487","42.61.5409",51.7900074946459
"139","722438424290487","42.89.3458",119.011136641902
"140","722438509290487","42.69.5442",108.613525805563
"141","722580927290487","54.77.1498",139.442390104342
"142","722580931290487","54.83.1236",194.470654987047
"143","722580969290487","54.81.914",296.371289510612
"144","722581070290487","54.59.2320",330.428585227516
"145","722581156290487","54.101.54",226.250470799874
"146","722581221290487","54.83.2437",209.681076051509
"147","722581222290487","54.75.2194",221.142251264823
"148","722581251290487","54.83.2298",183.361299788052
"149","734248035290487","47.59.80",419.842553006975
"150","740834544290487","51.71.5",288.85073839612
"151","740834981290487","51.27.6",338.741747159891
"152","740835396290487","51.167.84",363.868211060359
"153","829427380290487","51.167.25",372.288649021725
