"PLT_CN","PLOTID","MEASYEAR","ECOSEC","ECOPROV","OWNGRPCD","FORTYPGRP","STDORGCD","RDDISTCD","SLOPE","QMD","RD.comm","RD.sap","STDAGE","SITECLCD","LAT","LON","Z","dist","Mahalanobis.Distance","inv.Mahalanobis.Distance","weight","treat_PLT_CN","treat_PLOTID"
"10937_1_2021","10937_1","2021","211F","211","40","800","0","4","20.2288727195301","10.3762886326158","0.556069453262725","0.0756461588471541","73.375","5.375","41.9477746905153","-77.8731650409019","1","0",NA,NA,NA,"10937_1_2021","10937_1"
"168988908020004","36.3.3691","2014","211F","211","40","800","0","5","18","9.90098119235809","0.633405528726018","0.0337956479266808","61","5","42.1592","-78.10144","0","18.7298910291117","1.68210888927411","59.4491834848774","0.108536998405716","10937_1_2021","10937_1"
"168989575020004","36.101.2715","2014","211F","211","40","800","0","4","9","10.335946733212","0.736044648314195","0.105316876015937","87","5","42.297358","-77.159675","0","43.887930110717","2.08042930305603","48.0670022543453","0.0877564306391953","10937_1_2021","10937_1"
"171958507020004","42.117.4933","2014","211F","211","40","800","0","4","19","10.9493953832739","0.594722486088431","0.0834336489046617","63","5","41.865372","-77.579147","0","16.1902551470907","1.1569972300451","86.4306304312429","0.157797309355934","10937_1_2021","10937_1"
"251632668489998","36.3.5839","2015","211F","211","40","800","0","4","31","10.443701886348","0.464344882381245","0.0647666646284809","91","5","42.434635","-78.150188","0","36.4875659987085","1.99727017154032","50.0683389883496","0.0914102921251683","10937_1_2021","10937_1"
"306265277489998","36.101.2424","2016","211F","211","40","800","0","5","25","10.1301324440174","0.769664372394831","0.11707434310695","67","5","42.278163","-77.675382","0","24.965809526945","2.07425436281129","48.2100950552985","0.0880176766681316","10937_1_2021","10937_1"
"306265452489998","36.101.5327","2016","211F","211","40","800","0","4","8","11.9752745271246","0.606391915070382","0","91","5","42.379167","-77.410937","0","38.0771825812638","2.00811306580133","49.7979928038043","0.0909167182578594","10937_1_2021","10937_1"
"306269116489998","42.117.770","2016","211F","211","40","800","0","5","22","10.1045604979704","0.727426514821366","0","91","5","41.96937","-77.29734","0","29.7007510711876","2.005996535045","49.8505347606478","0.0910126446600715","10937_1_2021","10937_1"
"375682522489998","36.101.3677","2017","211F","211","40","800","0","4","19","10.9252002269981","0.7654372230799","0.0554153922583203","99","5","42.420413","-77.368116","0","41.6686958374292","1.97044534391298","50.7499486392333","0.0926547140205522","10937_1_2021","10937_1"
"459835957489998","36.121.1024","2018","211F","211","40","800","0","3","15","10.892715455753","0.530853854072286","0.0851227043201839","64","5","42.589388","-78.294698","0","49.2758091190148","1.80758417305477","55.3224582792196","0.101002792874008","10937_1_2021","10937_1"
"618638207126144","42.105.2929","2020","211F","211","40","800","0","5","15","12.148988298071","0.626042468120686","0.0407765056927421","99","5","41.845339","-77.628768","0","14.4498132954709","2.00860563080658","49.785780974757","0.0908944229933638","10937_1_2021","10937_1"
"Composite Control",NA,"2016","211F","211","40","800","0","4.27745894985328","18.1442934303874","10.7808829666506","0.6401551969142","0.0597393531806403","79.6034331117835","5","42.2024537640202","-77.6759819578956",NA,"30.2880838296011",NA,NA,NA,"10937_1_2021","10937_1"
