"PLT_CN","PLOTID","MEASYEAR","ECOSEC","ECOPROV","OWNGRPCD","FORTYPGRP","STDORGCD","RDDISTCD","SLOPE","QMD","RD.comm","RD.sap","STDAGE","SITECLCD","LAT","LON","Z","dist","Mahalanobis.Distance","inv.Mahalanobis.Distance","weight","treat_PLT_CN","treat_PLOTID"
"10742_1_2021","10742_1","2021","211G","211","40","800","0","5","20.1248382652147","11.708924021047","0.604819035945769","0.0623413796662528","81.7777777777778","4.66666666666667","41.96142563379","-77.999135664768","1","0",NA,NA,NA,"10742_1_2021","10742_1"
"168990039020004","36.77.344","2016","211F","211","40","800","0","5","7","10.7315789012748","0.554917492648888","0.112055874880671","80","5","42.382186","-75.347052","0","139.220634670041","1.323244316918","75.5718341061252","0.0888987300432307","10742_1_2021","10742_1"
"171958507020004","42.117.4933","2014","211F","211","40","800","0","4","19","10.9493953832739","0.594722486088431","0.0834336489046617","63","5","41.865372","-77.579147","0","22.6429751811194","1.28760236321524","77.6637282260745","0.0913595242378938","10742_1_2021","10742_1"
"171959111020004","42.81.6039","2014","211G","211","40","800","0","5","15","11.596101293857","0.577159522893737","0.0660323242805764","95","5","41.446944","-76.95474","0","64.6393267052423","1.10433941078616","90.5518711215889","0.106520457535053","10742_1_2021","10742_1"
"306265886489998","36.25.2556","2016","211I","211","40","800","0","5","15","10.5317945124359","0.439401784033493","0.0756498627395581","81","5","42.196375","-75.014258","0","154.321301207746","1.2040254644936","83.054721805289","0.0977012054810719","10742_1_2021","10742_1"
"375841172489998","42.79.1828","2018","211F","211","40","800","0","5","21","11.7772733120475","0.621319239802798","0.10996619877511","75","4","41.37198","-75.89263","0","116.348545431554","1.30666670327854","76.5306101005647","0.0900265836848654","10742_1_2021","10742_1"
"511169805126144","36.77.4696","2020","211F","211","40","800","0","5","15","10.7592651103263","0.517110589254804","0.0463942417532901","77","5","42.769882","-74.749938","0","175.409165356668","1.16638734983217","85.7348118653627","0.100853922436538","10742_1_2021","10742_1"
"618637897126144","42.127.5262","2020","211F","211","40","800","0","5","16","11.591807451817","0.566379355403154","0.178457096583975","77","5","41.816818","-75.166239","0","146.427587899224","1.2443332601832","80.3643229670461","0.0945363618212805","10742_1_2021","10742_1"
"618637968126144","42.115.5533","2020","211F","211","40","800","0","5","22","11.2800545047278","0.58441790738835","0.091942545799161","79","5","41.749263","-75.934108","0","107.549219166835","0.859112420038319","116.399201859449","0.136925897667369","10742_1_2021","10742_1"
"618638207126144","42.105.2929","2020","211F","211","40","800","0","5","15","12.148988298071","0.626042468120686","0.0407765056927421","99","5","41.845339","-77.628768","0","20.7084296323893","1.17049715647648","85.4337829414531","0.100499807846646","10742_1_2021","10742_1"
"618638208126144","42.105.2942","2020","211G","211","40","800","0","5","10","11.8896874082823","0.70343585760691","0.0839506165679452","83","5","41.837199","-77.770444","0","14.5793114309521","1.26929111785493","78.7841328071352","0.0926775092460523","10742_1_2021","10742_1"
"Composite Control",NA,"2018","211F","211","40","800","0","4.90864047576211","15.7840378579775","11.3271845905218","0.577837505194645","0.0879262473741377","81.1566953644219","4.90997341631513","41.9207765799039","-76.1958033786808",NA,"96.5745135690126",NA,NA,NA,"10742_1_2021","10742_1"
