"PLT_CN","PLOTID","MEASYEAR","ECOSEC","ECOPROV","OWNGRPCD","FORTYPGRP","STDORGCD","RDDISTCD","SLOPE","QMD","RD.comm","RD.sap","STDAGE","SITECLCD","LAT","LON","Z","dist","Mahalanobis.Distance","inv.Mahalanobis.Distance","weight","treat_PLT_CN","treat_PLOTID"
"9178_1_2021","9178_1","2021","M221A","M221","40","500","0","2","19.9473383718418","18.1043763774269","0.377556608155874","0.0319747386065504","78.6666666666667","5.33333333333333","40.430628051172","-76.8917097977029","1","0",NA,NA,NA,"9178_1_2021","9178_1"
"375841178489998","42.107.1027","2017","M221A","M221","40","500","0","2","55","13.8337687523949","0.644767472828169","0.0346301551751741","88","6","40.91562","-76.15034","0","51.3510487679848","4.37817240394854","22.8405806746699","0.0884053497210465","9178_1_2021","9178_1"
"465275653489998","54.31.1609","2018","M221A","M221","40","500","0","4","23","16.6042765575619","0.188428796789245","0","63","5","39.155295","-79.002874","0","142.702696583905","2.50867516038825","39.8616774220077","0.154286162123199","9178_1_2021","9178_1"
"511231861126144","42.67.4335","2020","M221A","M221","40","500","0","2","23","12.4025676458758","0.430770793873787","0.0546286613907774","72","5","40.525011","-77.310804","0","23.0222221837279","4.02906309565355","24.819665918828","0.096065475600928","9178_1_2021","9178_1"
"511231891126144","42.81.1975","2019","M221A","M221","40","500","0","2","15","13.9478620993634","0.631315783247214","0.033039917086439","99","5","41.16606","-77.16958","0","52.7977138206584","4.42385453115969","22.6047215828739","0.0874924479961688","9178_1_2021","9178_1"
"535843703126144","51.69.16","2019","M221A","M221","40","500","0","5","35","13.9233816135146","0.594111412691162","0.137948846572393","70","5","39.242727","-78.317639","0","111.659917411894","4.49571839455747","22.2433860895425","0.0860938850126098","9178_1_2021","9178_1"
"535843704126144","51.69.10","2019","M221A","M221","40","500","0","6","18","17.3246277672199","0.526461522228461","0.114090858678711","77","6","39.175775","-78.373792","0","117.107405656618","3.63579654503817","27.5042892970652","0.106456414080244","9178_1_2021","9178_1"
"535843915126144","51.165.61","2019","M221A","M221","40","500","0","5","14","14.4657201280658","0.580827096565345","0.0565379073779314","66","5","38.315098","-78.719324","0","175.70349969487","4.48114951388686","22.3157026316807","0.0863737889821896","9178_1_2021","9178_1"
"535844385126144","51.69.3","2019","M221A","M221","40","500","0","1","10","14.0166287798793","0.565702083943617","0.0192058862153642","86","5","39.394363","-78.246511","0","101.449527481313","4.13255242607958","24.1981201179502","0.0936597585713611","9178_1_2021","9178_1"
"618638104126144","42.67.5526","2020","M221A","M221","40","500","0","4","45","14.6204575091814","0.574986766044729","0","93","6","40.614489","-77.465077","0","32.7476081008683","3.79535617529507","26.3479882733866","0.101980906305853","9178_1_2021","9178_1"
"829427899290487","51.69.5","2022","M221A","M221","40","500","0","4","13","15.2318744742727","0.607312532263306","0.208536539191051","90","6","39.300096","-78.225277","0","105.403332141044","3.90231078660782","25.6258420890478","0.0991858116063998","9178_1_2021","9178_1"
"Composite Control",NA,"2019","M221A","M221","40","500","0","3.56047467980492","24.8866570172516","14.8036626561028","0.511911195399942","0.062588496209973","79.4682380601445","5.39602848171354","39.7411260904189","-77.9724969025427",NA,"93.9399323733592",NA,NA,NA,"9178_1_2021","9178_1"
