"PLT_CN","PLOTID","MEASYEAR","ECOSEC","ECOPROV","OWNGRPCD","FORTYPGRP","STDORGCD","RDDISTCD","SLOPE","QMD","RD.comm","RD.sap","STDAGE","SITECLCD","LAT","LON","Z","dist","Mahalanobis.Distance","inv.Mahalanobis.Distance","weight","treat_PLT_CN","treat_PLOTID"
"10363_4_2021","10363_4","2021","M221A","M221","40","800","0","5","26.8109518469138","12.1128994817655","0.452968627726609","0.0529406728042996","84.2222222222222","4.875","40.4808111408209","-77.9372331669617","1","0",NA,NA,NA,"10363_4_2021","10363_4"
"29637550020004","54.83.2015","2014","M221B","M221","40","800","0","5","33","13.0388266343257","0.603778541793973","0.0163292875282372","77","5","38.8626","-79.583756","0","142.013295125822","2.05937297664365","48.5584695604675","0.0906863376907222","10363_4_2021","10363_4"
"168262006020004","24.1.312","2015","M221B","M221","40","800","0","6","25","10.323428782056","0.424858107096151","0.0350241839104696","83","5","39.628815","-78.972575","0","80.4267268319851","1.90333493362828","52.5393603790861","0.0981209296857932","10363_4_2021","10363_4"
"171920293020004","54.77.273","2014","M221B","M221","40","800","0","4","51","12.6197631139666","0.500222174229602","0.031979438851581","93","5","39.338808","-79.579285","0","117.551717683146","1.93291776029877","51.735258506054","0.0966192132055254","10363_4_2021","10363_4"
"306268948489998","42.13.1516","2016","M221A","M221","40","800","0","5","26","10.9077444455253","0.545182280688706","0.0986514360437192","70","4","40.25699","-78.45303","0","31.2965802926544","1.94449152461333","51.4273262362948","0.0960441281574581","10363_4_2021","10363_4"
"375840703489998","42.63.1906","2017","M221B","M221","40","800","0","3","16","11.3792626759215","0.40715285232732","0.0732049457056931","81","5","40.62176","-78.88391","0","50.7657493464324","2.03685843841067","49.0952135475986","0.0916887446222221","10363_4_2021","10363_4"
"464513752489998","42.35.6192","2018","M221A","M221","40","800","0","5","0","11.8574870862253","0.405559664436322","0","77","5","41.034804","-77.260403","0","52.1773886221831","2.05077502708384","48.7620527260846","0.091066543489472","10363_4_2021","10363_4"
"511231858126144","42.109.5964","2019","M221A","M221","40","800","0","4","35","10.4914515466429","0.333055801522128","0.177536671052335","94","5","40.80451","-77.15635","0","46.727360040725","2.0932328192976","47.7729945174259","0.0892194081180716","10363_4_2021","10363_4"
"570397852126144","24.1.1840","2020","M221A","M221","40","800","0","5","12","10.555258322792","0.474878137204447","0.103852907217057","84","5","39.58732","-78.867925","0","78.9706674601081","1.91352992558264","52.2594387801653","0.0975981565243563","10363_4_2021","10363_4"
"618638153126144","42.9.5438","2020","M221A","M221","40","800","0","5","15","10.9763381872098","0.373557808993248","0.0109228529041776","84","5","40.175111","-78.197856","0","25.1854708916343","1.33845420107276","74.7130532519163","0.13953185177451","10363_4_2021","10363_4"
"618638204126144","42.9.5977","2020","M221A","M221","40","800","0","6","30","12.3700747774619","0.563929013919489","0","66","5","39.924869","-78.556632","0","50.448900377437","1.70671718392649","58.5920156788597","0.109424686731869","10363_4_2021","10363_4"
"Composite Control",NA,"2017","M221B","M221","40","800","0","4.83832950584962","24.0069950464684","11.4368501277054","0.461292058408016","0.0516938926256056","80.8020475128386","4.90395587184254","40.0201887639758","-78.5468016186574",NA,"65.4509898266727",NA,NA,NA,"10363_4_2021","10363_4"
