"PLT_CN","PLOTID","MEASYEAR","ECOSEC","ECOPROV","OWNGRPCD","FORTYPGRP","STDORGCD","RDDISTCD","SLOPE","QMD","RD.comm","RD.sap","STDAGE","SITECLCD","LAT","LON","Z","dist","Mahalanobis.Distance","inv.Mahalanobis.Distance","weight","treat_PLT_CN","treat_PLOTID"
"10363_1_2021","10363_1","2021","M221A","M221","40","500","0","2","20.7369990256915","11.408921440768","0.493451275561589","0.0310326855111059","74.5555555555556","5.11111111111111","40.489044566058","-77.9369043263652","1","0",NA,NA,NA,"10363_1_2021","10363_1"
"16265236020004","42.109.3242","2014","M221A","M221","40","500","0","3","30","9.41751471107602","0.376238416982742","0.0245459441281704","75","5","40.733018","-76.869492","0","58.6000073640864","1.77194845991072","56.4350500381023","0.0950481663060112","10363_1_2021","10363_1"
"171920311020004","54.31.1626","2014","M221A","M221","40","500","0","2","25","11.1407502345881","0.438543998036051","0.0150289232062202","72","4","38.853297","-78.896777","0","123.909419083679","1.9625592999891","50.953874362194","0.0858167454630339","10363_1_2021","10363_1"
"171958343020004","42.57.4995","2014","M221A","M221","40","500","0","2","30","12.8164347616644","0.601161862704116","0.0225116598186462","100","6","39.760887","-78.082368","0","50.8268069956612","1.8774250872495","53.2644421762275","0.0897082142169608","10363_1_2021","10363_1"
"373998313489998","24.1.1187","2017","M221A","M221","40","500","0","3","40","10.1405647096983","0.393696542851487","0.10442184977885","64","5","39.46586","-78.980645","0","89.7348092111417","1.7285987667047","57.850324740561","0.0974317783555648","10363_1_2021","10363_1"
"375841005489998","42.61.720","2017","M221A","M221","40","500","0","2","22","9.77588870640414","0.452398081278115","0.164875750652388","70","5","40.16791","-77.96538","0","22.208549141753","1.55050786106562","64.4949970980944","0.108622765567615","10363_1_2021","10363_1"
"464514734489998","42.55.2761","2018","M221A","M221","40","500","0","3","3","12.3740768454773","0.470734787108159","0","84","5","39.73211","-77.65447","0","54.3257983466384","1.95443092103159","51.1657889383054","0.0861736529497697","10363_1_2021","10363_1"
"511231861126144","42.67.4335","2020","M221A","M221","40","500","0","2","23","12.4025676458758","0.430770793873787","0.0546286613907774","72","5","40.525011","-77.310804","0","33.0679341230623","1.01223069340008","98.7917088979986","0.166385442568977","10363_1_2021","10363_1"
"511231891126144","42.81.1975","2019","M221A","M221","40","500","0","2","15","13.9478620993634","0.631315783247214","0.033039917086439","99","5","41.16606","-77.16958","0","61.6440248712443","1.87406371284037","53.3599788069306","0.0898691174421242","10363_1_2021","10363_1"
"511231943126144","42.61.5127","2019","M221A","M221","40","500","0","2","15","10.0483829544858","0.238617688485926","0.0190342944025102","79","5","40.483746","-77.908746","0","1.52785243497557","1.76976494570764","56.5046789080881","0.0951654355634963","10363_1_2021","10363_1"
"618642656126144","54.27.1409","2020","M221A","M221","40","500","0","2","16","12.9639426689495","0.664514389948863","0.0539740469682701","97","5","39.286102","-78.85118","0","96.171372620857","1.96343017667868","50.9312738429837","0.0857786815664476","10363_1_2021","10363_1"
"Composite Control",NA,"2017","M221A","M221","40","500","0","2.27865359761135","22.2084453670584","11.5025140451589","0.46350767460628","0.0522254392890013","80.0714498334534","5.00389146875393","40.0698725159098","-77.913932318714",NA,"56.0365062301557",NA,NA,NA,"10363_1_2021","10363_1"
