"PLT_CN","PLOTID","MEASYEAR","ECOSEC","ECOPROV","OWNGRPCD","FORTYPGRP","STDORGCD","RDDISTCD","SLOPE","QMD","RD.comm","RD.sap","STDAGE","SITECLCD","LAT","LON","Z","dist","Mahalanobis.Distance","inv.Mahalanobis.Distance","weight","treat_PLT_CN","treat_PLOTID"
"9176_2_2021","9176_2","2021","M221A","M221","40","500","0","3","15.8279959102223","10.8931152066832","0.709263099179119","0.0342630727064525","66.2","5.2","40.8019640561803","-76.6387615990672","1","0",NA,NA,NA,"9176_2_2021","9176_2"
"171958850020004","42.69.5690","2014","M221A","M221","40","500","0","3","18","11.1802215068028","0.809641596831854","0.0989191865048788","87","5","41.433735","-75.71005","0","65.1883113116544","1.64135098534953","60.9254211272214","0.0960217898435428","9176_2_2021","9176_2"
"171959054020004","42.79.5157","2014","M221A","M221","40","500","0","3","13","10.1650271902134","0.546623371317678","0.0663927415481549","70","6","41.24511","-76.047301","0","43.4803645007849","1.81299167490301","55.1574512913027","0.0869311544870476","9176_2_2021","9176_2"
"171959260020004","42.127.6161","2015","M221A","M221","40","500","0","4","25","10.0388185952272","0.586927291767569","0.126459119950757","70","5","41.581609","-75.452042","0","81.9825199880029","1.71259447566806","58.3909392566451","0.092027308048652","9176_2_2021","9176_2"
"251022043489998","42.107.8","2015","M221A","M221","40","500","0","3","5","9.73465528478094","0.705959609142057","0.0860343551962954","74","5","40.71282","-75.9505","0","36.6334724675594","1.54826417269411","64.5884609123206","0.101794940523927","9176_2_2021","9176_2"
"306269055489998","42.97.5","2016","M221A","M221","40","500","0","4","31","11.250964870904","0.753066453532539","0.00609205155543082","75","5","40.92498","-76.68922","0","8.89067244123985","1.29501852550754","77.2189725709201","0.121701316444841","9176_2_2021","9176_2"
"375841095489998","42.27.619","2017","M221A","M221","40","500","0","4","13","11.8376649935703","0.759687277443594","0.052298123585848","74","5","41.01187","-77.63786","0","54.2737125418857","1.20414166984152","83.0467066330837","0.130886143484652","9176_2_2021","9176_2"
"464514694489998","42.81.6106","2018","M221A","M221","40","500","0","4","16","10.952236368956","0.556991196128822","0.0278460725459034","86","5","41.163923","-76.989171","0","30.9777666222747","1.82668924265444","54.7438489617892","0.0862792946356333","9176_2_2021","9176_2"
"511231695126144","42.25.2119","2020","M221A","M221","40","500","0","2","2","11.1060140638798","0.680949422476479","0","78","5","40.90619","-75.59891","0","54.9547461182094","1.68922127074947","59.1988756781592","0.0933006599572349","9176_2_2021","9176_2"
"511232750126144","24.43.1445","2019","M221A","M221","40","500","0","3","7","12.6836086572958","0.769848270827567","0.0423012409454438","59","5","39.516742","-77.775588","0","107.165706623904","1.70708344372046","58.5794445888698","0.0923244027434506","9176_2_2021","9176_2"
"722438468290487","42.107.5084","2021","M221A","M221","40","500","0","4","7","11.7068071365908","0.765422653297057","0.0602517005787181","84","5","40.755777","-75.929432","0","37.3430654115016","1.59627961884337","62.6456660973083","0.0987329898310188","9176_2_2021","9176_2"
"Composite Control",NA,"2017","M221A","M221","40","500","0","3.43632639248756","14.0468870865478","11.0986344250838","0.700458094755146","0.0555088667134474","75.6651687668831","5.08693115448705","40.9240065816088","-76.4239423500853",NA,"50.8797691428686",NA,NA,NA,"9176_2_2021","9176_2"
