"PLT_CN","PLOTID","MEASYEAR","ECOSEC","ECOPROV","OWNGRPCD","FORTYPGRP","STDORGCD","RDDISTCD","SLOPE","QMD","RD.comm","RD.sap","STDAGE","SITECLCD","LAT","LON","Z","dist","Mahalanobis.Distance","inv.Mahalanobis.Distance","weight","treat_PLT_CN","treat_PLOTID"
"11975_2_2021","11975_2","2021","M221A","M221","40","500","0","3","26.0538275867985","9.75769885703683","0.503564805807487","0.102780421768589","76.8","4.8","40.3519953957453","-77.2025576909042","1","0",NA,NA,NA,"11975_2_2021","11975_2"
"16265236020004","42.109.3242","2014","M221A","M221","40","500","0","3","30","9.41751471107602","0.376238416982742","0.0245459441281704","75","5","40.733018","-76.869492","0","31.6002879102753","1.36558170888244","73.2288660206485","0.115958873183901","11975_2_2021","11975_2"
"171959260020004","42.127.6161","2015","M221A","M221","40","500","0","4","25","10.0388185952272","0.586927291767569","0.126459119950757","70","5","41.581609","-75.452042","0","124.826840266898","1.67140622721081","59.8298596546915","0.0947413702453445","11975_2_2021","11975_2"
"373998313489998","24.1.1187","2017","M221A","M221","40","500","0","3","40","10.1405647096983","0.393696542851487","0.10442184977885","64","5","39.46586","-78.980645","0","112.525727367187","1.67145008100005","59.8282899003294","0.094738884518651","11975_2_2021","11975_2"
"375841005489998","42.61.720","2017","M221A","M221","40","500","0","2","22","9.77588870640414","0.452398081278115","0.164875750652388","70","5","40.16791","-77.96538","0","42.2754733225626","1.34852375745612","74.155163709271","0.117425677765789","11975_2_2021","11975_2"
"375841075489998","42.75.509","2017","M221A","M221","40","500","0","3","23","11.8224555209759","0.539522426330688","0.126389877661008","101","5","40.48193","-76.57319","0","34.3805527754842","1.71751873111761","58.2235280397373","0.0921977229904868","11975_2_2021","11975_2"
"464514584489998","42.37.2514","2018","M221A","M221","40","500","0","3","19","10.7070070514593","0.553285989869722","0.0639821323699191","104","5","40.87853","-76.30718","0","59.4686427272121","1.74659097628103","57.2543894695524","0.0906630793087724","11975_2_2021","11975_2"
"464514694489998","42.81.6106","2018","M221A","M221","40","500","0","4","16","10.952236368956","0.556991196128822","0.0278460725459034","86","5","41.163923","-76.989171","0","57.133177232477","1.73370180063489","57.680046224431","0.0913371123826278","11975_2_2021","11975_2"
"511231697126144","42.25.2209","2020","M221A","M221","40","500","0","3","38","8.95242983775913","0.581181813216089","0.122631179355728","76","5","40.84234","-75.72952","0","84.5404318009705","1.26010092799854","79.3587226055243","0.125665581767381","11975_2_2021","11975_2"
"618638143126144","42.61.3625","2020","M221A","M221","40","500","0","4","26","10.0862799623182","0.459728392147828","0","97","5","40.536485","-77.854254","0","36.6372378928791","1.78443395875787","56.0401798616349","0.0887403624131772","11975_2_2021","11975_2"
"618638146126144","42.61.6002","2020","M221A","M221","40","500","0","5","30","10.7918123726144","0.549616541876543","0.149663173436163","81","5","40.316647","-77.833099","0","33.3828185560646","1.78864709816476","55.9081778080231","0.0885313354238686","11975_2_2021","11975_2"
"Composite Control",NA,"2018","M221A","M221","40","500","0","3.3344558381231","27.2632422696331","10.1883473263146","0.502924620852448","0.0927381416943796","81.5372569315556","5","40.6158435137375","-77.0259686499984",NA,"61.7256358700567",NA,NA,NA,"11975_2_2021","11975_2"
