"PLT_CN","PLOTID","MEASYEAR","ECOSEC","ECOPROV","OWNGRPCD","FORTYPGRP","STDORGCD","RDDISTCD","SLOPE","QMD","RD.comm","RD.sap","STDAGE","SITECLCD","LAT","LON","Z","dist","Mahalanobis.Distance","inv.Mahalanobis.Distance","weight","treat_PLT_CN","treat_PLOTID"
"9092_1_2021","9092_1","2021","M221B","M221","40","800","0","3","10.0277955685395","12.1908476430214","0.447108855127228","0.110496908790881","95","5.25","40.9711461566602","-77.9536794963256","1","0",NA,NA,NA,"9092_1_2021","9092_1"
"171920293020004","54.77.273","2014","M221B","M221","40","800","0","4","51","12.6197631139666","0.500222174229602","0.031979438851581","93","5","39.338808","-79.579285","0","141.735939389621","2.27187415291812","44.016522601639","0.0919191336957473","9092_1_2021","9092_1"
"251021667489998","42.111.1582","2015","M221B","M221","40","800","0","4","30","12.3358218210219","0.600932566606965","0.0499504116033869","105","5","39.75521","-79.38262","0","112.809199292018","2.08968020907383","47.8542121257497","0.0999333309925681","9092_1_2021","9092_1"
"375840607489998","42.9.1042","2017","M221A","M221","40","800","0","4","15","12.0495145130416","0.657250439076373","0.0135555485890492","86","5","39.7532","-78.52742","0","89.3250213218378","2.40316897730258","41.6117222486137","0.0868972202846892","9092_1_2021","9092_1"
"375840703489998","42.63.1906","2017","M221B","M221","40","800","0","3","16","11.3792626759215","0.40715285232732","0.0732049457056931","81","5","40.62176","-78.88391","0","54.4131127504376","1.25046206188261","79.9704389667342","0.167001231278936","9092_1_2021","9092_1"
"375841083489998","42.81.1384","2017","M221A","M221","40","800","0","5","5","12.0218550981119","0.410605283275724","0.0113737341376365","82","6","41.26952","-76.98224","0","54.7152048067254","2.38765590180557","41.8820818880891","0.0874618088159501","9092_1_2021","9092_1"
"375841130489998","42.37.311","2018","M221A","M221","40","800","0","5","16","12.4351710185614","0.582250805932424","0.121253267589093","110","5","41.24855","-76.4679","0","79.8731037104038","2.28938053556935","43.6799380646131","0.091216248569205","9092_1_2021","9092_1"
"511231858126144","42.109.5964","2019","M221A","M221","40","800","0","4","35","10.4914515466429","0.333055801522128","0.177536671052335","94","5","40.80451","-77.15635","0","43.3086001434419","1.96193906838266","50.9699825094139","0.106439953904452","9092_1_2021","9092_1"
"722438014290487","42.63.4307","2021","M221B","M221","40","800","0","3","9","14.4446278154639","0.701691008606731","0.060633736915002","80","5","40.582003","-78.997951","0","61.0046167091854","2.3787250667371","42.0393266117005","0.0877901809343794","9092_1_2021","9092_1"
"722438509290487","42.69.5442","2022","M221A","M221","40","800","0","3","5","12.7791496848056","0.440426613163667","0","89","5","41.357272","-75.602784","0","125.455488065217","2.22525839022478","44.938601485241","0.0938446990782494","9092_1_2021","9092_1"
"722581251290487","54.83.2298","2022","M221B","M221","40","800","0","3","8","10.9936823963392","0.398383592486889","0.129968138847419","86","5","38.818025","-79.730412","0","176.007655664345","2.38671761781289","41.898546880312","0.0874961924458233","9092_1_2021","9092_1"
"Composite Control",NA,"2018","M221B","M221","40","800","0","3.74254575364777","19.2428258242036","12.071887411459","0.493405236086915","0.0689812835546502","90.1528164415955","5.08746180881595","40.3827527646638","-78.1722648554037",NA,"90.3607163388642",NA,NA,NA,"9092_1_2021","9092_1"
