"PLT_CN","PLOTID","MEASYEAR","ECOSEC","ECOPROV","OWNGRPCD","FORTYPGRP","STDORGCD","RDDISTCD","SLOPE","QMD","RD.comm","RD.sap","STDAGE","SITECLCD","LAT","LON","Z","dist","Mahalanobis.Distance","inv.Mahalanobis.Distance","weight","treat_PLT_CN","treat_PLOTID"
"12017_1_2021","12017_1","2021","M221A","M221","40","500","0","4","12.0965778245291","9.19271732687935","0.273464963705214","0.186246910130711","60","5.42857142857143","40.0928552881259","-77.3051566580696","1","0",NA,NA,NA,"12017_1_2021","12017_1"
"306336288489998","54.27.1971","2016","M221A","M221","40","500","0","5","24","11.0040219919809","0.466183748523227","0.13828926291967","89","5","39.448574","-78.680397","0","85.6506455076056","2.02251862933355","49.443302301226","0.0877227966070997","12017_1_2021","12017_1"
"306336293489998","54.27.1779","2016","M221A","M221","40","500","0","5","32","9.76867631959607","0.491958763357521","0.159931855622751","83","6","39.462466","-78.534976","0","78.5954077996485","2.04312490480458","48.9446336662245","0.0868380537762897","12017_1_2021","12017_1"
"511231736126144","42.79.5616","2019","M221A","M221","40","500","0","4","11","9.74067759450029","0.434433395902583","0.0938834359579605","74","5","41.004195","-76.218791","0","84.9915771733807","1.88080021950588","53.1688581077854","0.0943327146153293","12017_1_2021","12017_1"
"511231872126144","42.55.3151","2019","M221A","M221","40","500","0","4","7","10.0137859519219","0.410615750039703","0.0935841914098737","66","5","40.010362","-77.574928","0","15.3944387639013","1.43149884063639","69.856850149836","0.123940715366715","12017_1_2021","12017_1"
"618638063126144","42.109.5085","2021","M221A","M221","40","500","0","4","6","10.7105088581262","0.252545707767395","0.0584554834146415","80","5","40.864306","-76.962079","0","56.2152509887682","1.96076440542428","51.0005178201719","0.0904856238027769","12017_1_2021","12017_1"
"618638192126144","42.13.5916","2020","M221A","M221","40","500","0","3","15","7.98053553143027","0.240483290754577","0.265887811022351","40","5","40.479841","-78.207623","0","54.6516578012916","1.49420108804695","66.9253963204567","0.118739700950828","12017_1_2021","12017_1"
"722438023290487","42.61.5230","2021","M221A","M221","40","500","0","5","8","10.8239870497046","0.452304187463678","0.0874947002153027","81","5","40.697796","-78.035269","0","56.7952407687654","2.01592656825669","49.6049814386229","0.0880096493338668","12017_1_2021","12017_1"
"722438306290487","42.57.4905","2021","M221A","M221","40","500","0","4","10","8.04617356828133","0.145354946255968","0.188096384456174","66","6","39.948517","-77.989656","0","37.6503088631654","1.51713542110292","65.9136940638447","0.116944728787702","12017_1_2021","12017_1"
"829427237290487","51.69.25","2022","M221A","M221","40","500","0","5","20","11.8732592709115","0.52293562896838","0.163351223440734","77","5","39.256659","-78.400571","0","82.0869375510106","2.01661544341729","49.5880363935641","0.0879795852671074","12017_1_2021","12017_1"
"829427902290487","51.69.20","2022","M221A","M221","40","500","0","5","26","9.90837435470326","0.330726337161176","0.178514120385072","80","5","39.200438","-78.378025","0","84.0504821637854","1.68962022453008","59.1848976167482","0.105006431492285","12017_1_2021","12017_1"
"Composite Control",NA,"2020","M221A","M221","40","500","0","4.33681681552582","15.4767023715159","9.8689506040823","0.364437324913734","0.14614924520808","72.1861096804384","5.20378278256399","40.0421792517413","-77.8930002208207",NA,"61.2894142096943",NA,NA,NA,"12017_1_2021","12017_1"
