"PLT_CN","PLOTID","MEASYEAR","ECOSEC","ECOPROV","OWNGRPCD","FORTYPGRP","STDORGCD","RDDISTCD","SLOPE","QMD","RD.comm","RD.sap","STDAGE","SITECLCD","LAT","LON","Z","dist","Mahalanobis.Distance","inv.Mahalanobis.Distance","weight","treat_PLT_CN","treat_PLOTID"
"10921_2_2021","10921_2","2021","M221A","M221","40","500","0","5","29.4299388769046","8.70634632481498","0.707991650539284","0.0358287934188321","95.7777777777778","5.33333333333333","40.7455440783057","-77.0984458332233","1","0",NA,NA,NA,"10921_2_2021","10921_2"
"171959256020004","42.109.2971","2014","M221A","M221","40","500","0","5","2","10.2330417206783","0.625082224897806","0.0763918823086878","97","5","40.836834","-77.104297","0","6.30678126207564","2.27626163490592","43.9316809924326","0.0962315865966763","10921_2_2021","10921_2"
"251021904489998","42.37.925","2015","M221A","M221","40","500","0","5","20","10.9192614342853","0.795971883676565","0.0985912893087782","98","6","41.14558","-76.557","0","39.5546490994842","2.2696034682009","44.0605600939046","0.0965138940370845","10921_2_2021","10921_2"
"306269055489998","42.97.5","2016","M221A","M221","40","500","0","4","31","11.250964870904","0.753066453532539","0.00609205155543082","75","5","40.92498","-76.68922","0","24.7646869753948","2.2875431187159","43.715022978948","0.0957570009692767","10921_2_2021","10921_2"
"306269239489998","42.79.1197","2017","M221A","M221","40","500","0","5","13","9.82765206435592","0.887777581821202","0.0172519469475262","78","5","41.10701","-76.05437","0","60.0673517555439","2.12932195594311","46.9633066624293","0.102872310138333","10921_2_2021","10921_2"
"375841165489998","42.79.1175","2018","M221A","M221","40","500","0","5","12","9.57371676161244","0.683925369025638","0","90","6","40.98067","-75.93689","0","62.9761019621732","2.14987736681899","46.5142810205786","0.101888727244127","10921_2_2021","10921_2"
"464514532489998","42.99.66","2018","M221A","M221","40","500","0","5","11","8.95630534346643","0.609420485586373","0","61","5","40.39317","-77.48983","0","31.8634079628454","2.18234341441214","45.8223024568923","0.100372960181039","10921_2_2021","10921_2"
"464515051489998","42.97.1981","2018","M221A","M221","40","500","0","5","43","10.3099466535962","0.680711877471226","0","88","6","40.76371","-76.72505","0","19.6331320112937","2.05511980381006","48.6589637327256","0.106586617592823","10921_2_2021","10921_2"
"535843910126144","51.171.47","2019","M221A","M221","40","500","0","5","28","10.2187642529389","0.712404753976821","0.00554909683789856","99","6","38.894551","-78.677546","0","152.851321302014","2.27705407897722","43.9163922030858","0.0961980967683167","10921_2_2021","10921_2"
"722438032290487","42.13.3663","2021","M221A","M221","40","500","0","5","40","10.4065784482701","0.623645533874382","0.0458075390057835","87","6","40.364338","-78.39871","0","73.3122235766297","2.27444068111007","43.9668534029182","0.0963086311528826","10921_2_2021","10921_2"
"722438321290487","42.55.5700","2021","M221A","M221","40","500","0","5","31","12.2305083023288","0.71953607018248","0","110","5","40.195373","-77.695029","0","49.2884390882001","2.04202396410589","48.9710217694655","0.107270175319442","10921_2_2021","10921_2"
"Composite Control",NA,"2018","M221A","M221","40","500","0","4.90424299903072","23.2098073517242","10.3975190111134","0.709601705783408","0.024170319443291","88.3731809256835","5.49749596679523","40.5640368578398","-77.1224237396926",NA,"51.7343383603953",NA,NA,NA,"10921_2_2021","10921_2"
