"PLT_CN","PLOTID","MEASYEAR","ECOSEC","ECOPROV","OWNGRPCD","FORTYPGRP","STDORGCD","RDDISTCD","SLOPE","QMD","RD.comm","RD.sap","STDAGE","SITECLCD","LAT","LON","Z","dist","Mahalanobis.Distance","inv.Mahalanobis.Distance","weight","treat_PLT_CN","treat_PLOTID"
"10175_2_2021","10175_2","2021","211G","211","40","800","0","4","22.9080203897298","10.2741271168285","0.61540261007447","0.0542020325243907","68.1428571428571","5.28571428571429","41.8342248677145","-77.391302737227","1","0",NA,NA,NA,"10175_2_2021","10175_2"
"168988908020004","36.3.3691","2014","211F","211","40","800","0","5","18","9.90098119235809","0.633405528726018","0.0337956479266808","61","5","42.1592","-78.10144","0","42.8919793536357","1.18950413125389","84.0686445490415","0.105707216108609","10175_2_2021","10175_2"
"168989279020004","36.39.4906","2015","211I","211","40","800","0","4","9","9.0533143102402","0.56155365050731","0.213804244412548","57","5","42.190257","-74.203119","0","165.919377704945","1.45132418650953","68.9025931831969","0.0866375489593021","10175_2_2021","10175_2"
"171958507020004","42.117.4933","2014","211F","211","40","800","0","4","19","10.9493953832739","0.594722486088431","0.0834336489046617","63","5","41.865372","-77.579147","0","9.92865854195666","0.911890667798512","109.662269317242","0.137888427532763","10175_2_2021","10175_2"
"251021870489998","42.131.706","2015","211F","211","40","800","0","3","15","10.0524912656098","0.522550598587807","0.100395829632969","75","5","41.62695","-75.73861","0","86.6283457846274","1.38247034936045","72.3342819224018","0.0909525259060399","10175_2_2021","10175_2"
"306265277489998","36.101.2424","2016","211F","211","40","800","0","5","25","10.1301324440174","0.769664372394831","0.11707434310695","67","5","42.278163","-77.675382","0","33.9457125768393","1.47045733634514","68.0060533062132","0.0855102471568921","10175_2_2021","10175_2"
"306268641489998","42.127.6173","2016","211F","211","40","800","0","3","12","10.2282972442205","0.598051637942133","0","73","5","41.904278","-75.385534","0","103.581023939911","1.44768979951256","69.0755713231317","0.0868550502371952","10175_2_2021","10175_2"
"375683055489998","36.25.1184","2018","211I","211","40","800","0","4","18","10.9477203401056","0.636284636118311","0","66","5","42.200112","-75.371172","0","106.990681314861","1.23253743355057","81.133438448137","0.102016512311777","10175_2_2021","10175_2"
"618637968126144","42.115.5533","2020","211F","211","40","800","0","5","22","11.2800545047278","0.58441790738835","0.091942545799161","79","5","41.749263","-75.934108","0","75.489398747791","1.4217177362302","70.337449869028","0.0884417258505514","10175_2_2021","10175_2"
"618638014126144","42.15.6050","2020","211F","211","40","800","0","4","23","10.1283998123406","0.505703689654073","0","72","5","41.881481","-76.155628","0","63.838213768681","0.968820692532392","103.218274311019","0.129785801680051","10175_2_2021","10175_2"
"618638446126144","42.121.5132","2021","211G","211","40","800","0","4","15","9.54496726028958","0.43003356350786","0.23632406820486","65","5","41.551985","-79.855624","0","128.948870849357","1.45860740759764","68.5585439091537","0.0862049442568191","10175_2_2021","10175_2"
"Composite Control",NA,"2017","211F","211","40","800","0","4.10185161297282","17.906815416888","10.2614874994185","0.582200453954973","0.0812466250687723","67.6323813300772","5","41.9405262774734","-76.6329185912728",NA,"77.0487480700046",NA,NA,NA,"10175_2_2021","10175_2"
