"PLT_CN","PLOTID","MEASYEAR","ECOSEC","ECOPROV","OWNGRPCD","FORTYPGRP","STDORGCD","RDDISTCD","SLOPE","QMD","RD.comm","RD.sap","STDAGE","SITECLCD","LAT","LON","Z","dist","Mahalanobis.Distance","inv.Mahalanobis.Distance","weight","treat_PLT_CN","treat_PLOTID"
"9204_1_2021","9204_1","2021","M221A","M221","40","500","0","3","28.0861957492784","10.8010135570485","0.712452692380147","0.106212336628653","63.3333333333333","4.44444444444444","40.457148793577","-77.1249989504997","1","0",NA,NA,NA,"9204_1_2021","9204_1"
"171920307020004","54.23.2051","2015","M221A","M221","40","500","0","4","39","9.8663775219381","0.730586191237676","0.0787761773696082","55","5","39.245804","-79.032075","0","131.404392688643","1.82635001463577","54.7540171372589","0.104366257199948","9204_1_2021","9204_1"
"171958360020004","42.81.4440","2016","M221A","M221","40","500","0","4","36","12.1262360194745","0.694623913181515","0.17259583421586","72","5","41.285732","-77.196355","0","57.2978604202046","1.84789623262033","54.1155927669159","0.103149360878516","9204_1_2021","9204_1"
"171958850020004","42.69.5690","2014","M221A","M221","40","500","0","3","18","11.1802215068028","0.809641596831854","0.0989191865048788","87","5","41.433735","-75.71005","0","100.1087400066","2.21206466568937","45.2066350279303","0.0861680575261139","9204_1_2021","9204_1"
"171959255020004","42.109.4871","2015","M221A","M221","40","500","0","4","31","12.3857175811497","0.52561605748583","0.0327046347280244","75","4","40.742677","-77.011908","0","20.5800042745841","2.13712673682697","46.7917967974477","0.0891895235224124","9204_1_2021","9204_1"
"171959260020004","42.127.6161","2015","M221A","M221","40","500","0","4","25","10.0388185952272","0.586927291767569","0.126459119950757","70","5","41.581609","-75.452042","0","116.896703252825","2.14064572136237","46.7148762646988","0.0890429058215648","9204_1_2021","9204_1"
"306269055489998","42.97.5","2016","M221A","M221","40","500","0","4","31","11.250964870904","0.753066453532539","0.00609205155543082","75","5","40.92498","-76.68922","0","39.5720706620182","1.59803449928048","62.5768718040978","0.119277346922377","9204_1_2021","9204_1"
"375841095489998","42.27.619","2017","M221A","M221","40","500","0","4","13","11.8376649935703","0.759687277443594","0.052298123585848","74","5","41.01187","-77.63786","0","46.7950576571931","1.98932205761491","50.2683814404063","0.0958162177084268","9204_1_2021","9204_1"
"464513745489998","42.99.2873","2018","M221A","M221","40","500","0","4","30","9.97056381841784","0.666904310397793","0.0572971590396813","43","4","40.48744","-76.95911","0","8.98775614109056","1.60068676622013","62.4731847044256","0.119079709651571","9204_1_2021","9204_1"
"511231697126144","42.25.2209","2020","M221A","M221","40","500","0","3","38","8.95242983775913","0.581181813216089","0.122631179355728","76","5","40.84234","-75.72952","0","78.0060242408446","2.05416517219373","48.6815769995778","0.0927916206275884","9204_1_2021","9204_1"
"618637880126144","42.11.4419","2020","M221A","M221","40","500","0","3","10","10.74298925727","0.678835673912944","0.0924705583271289","39","4","40.499772","-75.627915","0","78.9340417663593","1.8850000009683","53.0503978507329","0.101119000141481","9204_1_2021","9204_1"
"Composite Control",NA,"2017","M221A","M221","40","500","0","3.71992132170482","27.3785053922421","10.8230183638782","0.681405848797306","0.082015854704704","65.7381696235466","4.69061176668454","40.7785475181973","-76.7469542474247",NA,"65.9890141214976",NA,NA,NA,"9204_1_2021","9204_1"
