"PLT_CN","PLOTID","MEASYEAR","ECOSEC","ECOPROV","OWNGRPCD","FORTYPGRP","STDORGCD","RDDISTCD","SLOPE","QMD","RD.comm","RD.sap","STDAGE","SITECLCD","LAT","LON","Z","dist","Mahalanobis.Distance","inv.Mahalanobis.Distance","weight","treat_PLT_CN","treat_PLOTID"
"9151_4_2021","9151_4","2021","M221A","M221","40","100","0","5","6.91612507982789","11.3816610753746","0.708633659877064","0.0169551578343679","91","4.625","40.7376947838438","-77.4283222270918","1","0",NA,NA,NA,"9151_4_2021","9151_4"
"16264641020004","42.27.4897","2014","M221A","M221","40","100","0","5","0","9.93937176642021","0.526668853444494","0.0380915194037185","65","5","40.910693","-77.442707","0","11.9613170881818","1.34243183259842","74.491678140885","0.128017643307695","9151_4_2021","9151_4"
"251021936489998","42.131.139","2015","211F","211","40","100","0","5","3","10.9396069399225","0.478263902549929","0.16264758976514","82","5","41.56603","-75.95498","0","95.7737525932549","1.74734346441359","57.2297330413857","0.0983521345462296","9151_4_2021","9151_4"
"251632937489998","36.65.5569","2015","211J","211","40","100","0","5","5","11.2502372347359","0.711301357037198","0","86","5","43.02242","-75.237394","0","193.977800677492","1.76163149412399","56.7655609777386","0.0975544318341898","9151_4_2021","9151_4"
"306265490489998","36.25.5675","2016","211I","211","40","100","0","5","2","12.5240737878066","0.697399904131498","0.0197141288253176","86","5","42.455902","-74.877089","0","177.547720416829","1.87561659359204","53.3158004368513","0.0916258472534394","9151_4_2021","9151_4"
"375841019489998","42.117.403","2017","211F","211","40","100","0","5","10","11.8032096302556","0.669995022190312","0","112","5","41.93343","-77.06237","0","84.6841989024743","1.3180736565622","75.8682942354071","0.130383426339551","9151_4_2021","9151_4"
"459836246489998","36.7.8425","2018","211F","211","40","100","0","5","15","12.6552501809667","0.616830046688888","0.0400112401387143","80","5","42.066679","-75.776162","0","125.617682929031","1.93730584606948","51.6180757947363","0.0887082232571332","9151_4_2021","9151_4"
"464513760489998","42.53.2702","2018","211G","211","40","100","0","5","0","12.6705796924841","0.817677937099211","0.0509166936886016","90","5","41.60804","-79.37528","0","117.950660930985","1.71498830020076","58.309435690199","0.100207657096181","9151_4_2021","9151_4"
"511169324126144","36.71.965","2019","211F","211","40","100","0","5","16","11.1726988682234","0.459784925670573","0.036976451882758","98","5","41.489354","-74.587957","0","157.040731473925","2.07642950437132","48.1595930848984","0.0827646491964645","9151_4_2021","9151_4"
"511169855126144","36.17.4782","2019","211I","211","40","100","0","5","8","12.0078820267869","0.505829956911223","0","86","5","42.209555","-75.486895","0","143.070407315241","1.79927474176269","55.5779490918844","0.0955134619086135","9151_4_2021","9151_4"
"618638048126144","42.15.4174","2020","211F","211","40","100","0","5","22","11.5560126588468","0.68553741849708","0.0158596290245626","124","5","41.76885","-76.60216","0","83.1540638209182","1.97824293693713","50.5499087765367","0.086872525260502","9151_4_2021","9151_4"
"Composite Control",NA,"2017","221A","211","40","100","0","5","7.60007550771241","11.6001636798914","0.617685247511877","0.035769125629061","90.4711030762804","5","41.8750108782973","-76.3463044218171",NA,"114.032838386204",NA,NA,NA,"9151_4_2021","9151_4"
