"PLT_CN","PLOTID","MEASYEAR","ECOSEC","ECOPROV","OWNGRPCD","FORTYPGRP","STDORGCD","RDDISTCD","SLOPE","QMD","RD.comm","RD.sap","STDAGE","SITECLCD","LAT","LON","Z","dist","Mahalanobis.Distance","inv.Mahalanobis.Distance","weight","treat_PLT_CN","treat_PLOTID"
"12752_1_2021","12752_1","2021","M221A","M221","40","500","0","5","43.1359502222316","11.4634720729487","0.609045286949196","0.0185174152024909","69.7","4.77777777777778","40.3479655198751","-77.2104821134461","1","0",NA,NA,NA,"12752_1_2021","12752_1"
"171958771020004","42.13.5145","2014","M221A","M221","40","500","0","5","55","9.99807388857881","0.523318113733593","0.0888997200504221","86","5","40.530443","-78.342848","0","61.0110331830175","1.9133700165406","52.2638063393517","0.102361436560041","12752_1_2021","12752_1"
"171959255020004","42.109.4871","2015","M221A","M221","40","500","0","4","31","12.3857175811497","0.52561605748583","0.0327046347280244","75","4","40.742677","-77.011908","0","29.1720576410055","1.72392795251881","58.0070645376399","0.113609912338763","12752_1_2021","12752_1"
"249982041489998","54.65.2311","2015","M221A","M221","40","500","0","5","27","9.67713403218758","0.383807117818775","0.0187895284825061","45","5","39.47856","-78.366555","0","85.8494159975725","2.21719154262299","45.1021024018961","0.0883348595729819","12752_1_2021","12752_1"
"306269055489998","42.97.5","2016","M221A","M221","40","500","0","4","31","11.250964870904","0.753066453532539","0.00609205155543082","75","5","40.92498","-76.68922","0","48.332009340985","1.75270917673308","57.0545309669642","0.111744324822367","12752_1_2021","12752_1"
"306269241489998","42.107.1276","2016","M221A","M221","40","500","0","5","62","10.4271920157506","0.533755065882843","0.117704825972394","89","5","40.64933","-76.00331","0","66.8989453586524","2.18393973992026","45.7888091745844","0.089679811207225","12752_1_2021","12752_1"
"464513745489998","42.99.2873","2018","M221A","M221","40","500","0","4","30","9.97056381841784","0.666904310397793","0.0572971590396813","43","4","40.48744","-76.95911","0","16.3813502944219","2.13321460596477","46.8776089008513","0.0918122832163092","12752_1_2021","12752_1"
"464515051489998","42.97.1981","2018","M221A","M221","40","500","0","5","43","10.3099466535962","0.680711877471226","0","88","6","40.76371","-76.72505","0","38.4134404337802","2.15986740683225","46.2991384025115","0.0906793180657575","12752_1_2021","12752_1"
"511231986126144","42.61.2504","2019","M221A","M221","40","500","0","5","37","11.9926426721082","0.529277024919483","0.0416289159181387","83","4","40.45806","-78.14265","0","49.7532170014933","1.69164994334154","59.1138848753004","0.115777678670996","12752_1_2021","12752_1"
"618638146126144","42.61.6002","2020","M221A","M221","40","500","0","5","30","10.7918123726144","0.549616541876543","0.149663173436163","81","5","40.316647","-77.833099","0","32.947101449196","2.03280417326835","49.193130019612","0.0963473541325466","12752_1_2021","12752_1"
"740835027290487","51.171.24","2021","M221A","M221","40","500","0","4","42","11.9865974537614","0.642025214510936","0.0299295446251075","82","5","38.848622","-78.685334","0","129.97780451434","1.96537245722112","50.880940980211","0.0996530214130141","12752_1_2021","12752_1"
"Composite Control",NA,"2017","M221A","M221","40","500","0","4.58318045820955","38.5742506735824","10.9507885668089","0.580373105544225","0.0531942454247373","75.1741621478594","4.76947944383969","40.3370127135474","-77.4872346802623",NA,"55.4178932754629",NA,NA,NA,"12752_1_2021","12752_1"
