"PLT_CN","PLOTID","MEASYEAR","ECOSEC","ECOPROV","OWNGRPCD","FORTYPGRP","STDORGCD","RDDISTCD","SLOPE","QMD","RD.comm","RD.sap","STDAGE","SITECLCD","LAT","LON","Z","dist","Mahalanobis.Distance","inv.Mahalanobis.Distance","weight","treat_PLT_CN","treat_PLOTID"
"9151_6_2021","9151_6","2021","M221A","M221","40","800","0","5","20.2207034997003","12.2984353176816","0.6001686570123","0.00375308276650912","81.3333333333333","4.33333333333333","40.7395430874237","-77.4181258980671","1","0",NA,NA,NA,"9151_6_2021","9151_6"
"29637550020004","54.83.2015","2014","M221B","M221","40","800","0","5","33","13.0388266343257","0.603778541793973","0.0163292875282372","77","5","38.8626","-79.583756","0","173.336043048168","2.28024117866819","43.8550101346765","0.0838242118709603","9151_6_2021","9151_6"
"168262006020004","24.1.312","2015","M221B","M221","40","800","0","6","25","10.323428782056","0.424858107096151","0.0350241839104696","83","5","39.628815","-78.972575","0","112.422440185773","2.26004469250125","44.2469126083199","0.0845732919847844","9151_6_2021","9151_6"
"171920500020004","54.57.2386","2014","M221B","M221","40","800","0","5","60","12.3447964746285","0.665489304332867","0.059646225399177","82","4","39.394365","-79.117695","0","129.341152156123","2.01745414605496","49.5674214928481","0.0947428817905651","9151_6_2021","9151_6"
"171958547020004","42.111.4316","2015","M221B","M221","40","800","0","6","10","12.9247992163363","0.620164090567527","0.0382734869800037","82","5","39.790603","-79.203043","0","114.832540457786","2.13708558913448","46.7926977321015","0.0894392908966185","9151_6_2021","9151_6"
"306268948489998","42.13.1516","2016","M221A","M221","40","800","0","5","26","10.9077444455253","0.545182280688706","0.0986514360437192","70","4","40.25699","-78.45303","0","63.8758666677011","1.39569076588129","71.6491091326067","0.136949691400214","9151_6_2021","9151_6"
"375840607489998","42.9.1042","2017","M221A","M221","40","800","0","4","15","12.0495145130416","0.657250439076373","0.0135555485890492","86","5","39.7532","-78.52742","0","89.8374729259449","2.01447200461362","49.6407990634649","0.0948831352532157","9151_6_2021","9151_6"
"464513752489998","42.35.6192","2018","M221A","M221","40","800","0","5","0","11.8574870862253","0.405559664436322","0","77","5","41.034804","-77.260403","0","21.984893418758","1.82125779423966","54.9071088762303","0.104949129267758","9151_6_2021","9151_6"
"511232060126144","42.21.5600","2019","M221B","M221","40","800","0","5","15","10.9139818581487","0.710523685493415","0","75","5","40.451619","-78.748387","0","72.7334921346152","1.91108684452271","52.3262458148389","0.100016082589542","9151_6_2021","9151_6"
"618638153126144","42.9.5438","2020","M221A","M221","40","800","0","5","15","10.9763381872098","0.373557808993248","0.0109228529041776","84","5","40.175111","-78.197856","0","56.6179805318001","1.89820759316966","52.6812769898461","0.100694687117125","9151_6_2021","9151_6"
"618638204126144","42.9.5977","2020","M221A","M221","40","800","0","6","30","12.3700747774619","0.563929013919489","0","66","5","39.924869","-78.556632","0","82.3010276054418","1.73877555274631","57.5117356820752","0.109927597829217","9151_6_2021","9151_6"
"Composite Control",NA,"2017","M221B","M221","40","800","0","5.1890570454574","22.7519255934417","11.729808344607","0.555318425352479","0.0293014589359319","77.6192780613415","4.76830742680922","39.972080342005","-78.6189324494304",NA,"88.164327335204",NA,NA,NA,"9151_6_2021","9151_6"
