"PLT_CN","PLOTID","MEASYEAR","ECOSEC","ECOPROV","OWNGRPCD","FORTYPGRP","STDORGCD","RDDISTCD","SLOPE","QMD","RD.comm","RD.sap","STDAGE","SITECLCD","LAT","LON","Z","dist","Mahalanobis.Distance","inv.Mahalanobis.Distance","weight","treat_PLT_CN","treat_PLOTID"
"11979_1_2021","11979_1","2021","M221A","M221","40","500","0","5","14.1339026323215","10.9634071212317","0.328937855110003","0.0804334463174128","90.8","4.2","40.4504943325763","-76.8212042747939","1","0",NA,NA,NA,"11979_1_2021","11979_1"
"168262077020004","24.43.1315","2014","M221A","M221","40","500","0","4","27","12.0053973369227","0.54794307225235","0.066496647386931","112","4","39.712968","-77.975775","0","79.5823214969832","1.89463282425184","52.7806753477356","0.0888628778882127","11979_1_2021","11979_1"
"306268356489998","42.57.313","2016","M221A","M221","40","500","0","5","28","11.0881317933485","0.297526207225873","0","93","4","39.72904","-78.19286","0","88.0950624392751","1.35659736626421","73.7138391145336","0.124106481032119","11979_1_2021","11979_1"
"464513471489998","42.11.2004","2018","M221A","M221","40","500","0","5","7","11.6486222361273","0.524743551116443","0.0562956181322191","72","4","40.62374","-75.93964","0","47.9230894514146","1.86940779029892","53.4928764707939","0.0900619576842406","11979_1_2021","11979_1"
"464514454489998","42.27.2240","2018","M221A","M221","40","500","0","5","12","12.3410622793104","0.570775534340558","0.148142346214745","99","4","40.91662","-77.84687","0","62.7464478747295","1.87694353571816","53.2781077837474","0.0897003676991657","11979_1_2021","11979_1"
"464514506489998","42.55.520","2018","M221A","M221","40","500","0","5","32","11.0921894442291","0.47147007437647","0.0217595087741184","88","4","39.73176","-78.00739","0","80.0615392887492","1.56725383440015","63.8058735637254","0.107425180024479","11979_1_2021","11979_1"
"464514629489998","42.43.2657","2019","M221A","M221","40","500","0","6","15","12.2837603864114","0.363277739158951","0.052049718603154","118","5","40.46004","-76.88897","0","3.63197215297358","1.8065838456826","55.3530909949081","0.0931938618331201","11979_1_2021","11979_1"
"464514668489998","42.27.2375","2018","M221A","M221","40","500","0","5","14","10.3074994763301","0.411284849826089","0.0850604406482401","99","5","40.81124","-77.5519","0","45.7724070097689","1.45550060514942","68.7048838359872","0.115673277433785","11979_1_2021","11979_1"
"511232752126144","24.43.314","2019","M221A","M221","40","500","0","6","5","11.9504368613231","0.390291125792962","0","82","4","39.6795","-77.996969","0","81.9406062540379","1.83233887914503","54.5750576698236","0.0918839452792974","11979_1_2021","11979_1"
"722438023290487","42.61.5230","2021","M221A","M221","40","500","0","5","8","10.8239870497046","0.452304187463678","0.0874947002153027","81","5","40.697796","-78.035269","0","66.1165204654065","1.77994294540417","56.1815760770314","0.094588720239154","11979_1_2021","11979_1"
"722438335290487","42.37.4820","2022","M221A","M221","40","500","0","5","18","11.2046865194882","0.410525248481018","0","93","5","41.170607","-76.391376","0","54.5614461588709","1.61107329188833","62.0704225583621","0.104503330886427","11979_1_2021","11979_1"
"Composite Control",NA,"2018","M221A","M221","40","500","0","5.0962149292242","17.1332463046793","11.420499917905","0.437698233872772","0.049571065064109","93.6762680440682","4.40795919039249","40.3460451351782","-77.5028570836169",NA,"61.6680122306007",NA,NA,NA,"11979_1_2021","11979_1"
